username,category,engagement_rate,alignment_genZ
makeupbynvs,beauty,0.018,0
jaquelinevandoski,beauty,0.043,0
anisaartistry,beauty,0.036,1
rubina_muartistry,beauty,0.032,1
beautyxabbi,beauty,0.019,1
vemakeup713,beauty,0.055,1
glaminfusion,beauty,0.03,0
paisleymattes,beauty,0.013,0
meghanmakeup_,beauty,0.026,1
mariana.beautyy,beauty,0.014,1
michellechawkemakeup,beauty,0.07,1
itsbeauty_bliss,beauty,0.067,0
shanmacmua,beauty,0.068,0
makeupxsyd,beauty,0.1,0
sandijarquin,beauty,0.05,1
victorialyn,beauty,0.047,1
meninadibatom,beauty,0.021,1
virginia_maccagno,beauty,0.059,0
stephjoyner1989,beauty,0.01,0
jenmiamakeup,beauty,0.013,1
hazelbeauty89,beauty,0.046,1
itsvanbeauty,beauty,0.025,1
cindyloubindi,beauty,0.017,1
hollifer__,beauty,0.044,1
sayehsmakeup,beauty,0.028,1
canadian.muas,beauty,0.021,0
makeupemalii,beauty,0.013,1
jwmua,beauty,0.022,0
farahpromakeup,beauty,0.085,0
hilijeen_mua,beauty,0.033,0
ana_b_artistry,beauty,0.017,0
camouflageandbalayage,beauty,0.068,0
with_sabrina,beauty,0.069,0
carmenvalladolid_,beauty,0.147,1
ruthiebarone,beauty,0.011,1
annette_updo_artist,beauty,0.039,1
amypigeonmua,beauty,0.025,0
kaylann_marie,beauty,0.031,0
midnight_weirdo,beauty,0.043,1
melisssaspiteri,beauty,0.06,0
glamz_junkie,beauty,0.073,1
saraanddipity,beauty,0.068,1
msnataliejean,beauty,0.011,0
mj_essence,beauty,0.055,1
iamalexxkyler,beauty,0.066,1
valpham,beauty,0.06,1
geribeth23,beauty,0.046,0
cakedbyjess,beauty,0.029,1
inngenue,beauty,0.051,1
alexandralee1016,beauty,0.065,1
madithemermaid,beauty,0.011,1
jeamkin,beauty,0.139,0
sophialcsmakeup,beauty,0.06,1
withlove.nadia,beauty,0.026,1
spindelsven,beauty,0.026,1
therealmarxicoco,beauty,0.013,0
iridescent.amy,beauty,0.044,1
h_love13,beauty,0.051,1
erikamariemua,beauty,0.011,1
ida_elina,beauty,0.059,1
catanoglam,beauty,0.05,1
bexlecter,beauty,0.047,0
marisolbautistaa,beauty,0.025,1
thebeautyelite,beauty,0.01,0
tingting57live,beauty,0.043,1
sofia_torress,beauty,0.016,1
shayetraceymakeup,beauty,0.027,1
beautiception,beauty,0.044,1
wiskola,beauty,0.058,1
sydniiee,beauty,0.143,1
sophiemonroeville,beauty,0.065,0
zavvora,beauty,0.036,0
thegoodhairday,beauty,0.044,1
blogbelezamake,beauty,0.029,0
